ALLOWED ACTION	PREPAID	DEBIT	CREDIT	ORDERED	INACTIVE	ACTIVE	RESTRICTED	BLOCKED	EXPIRED	CLOSED
ACTION1	TAK	TAK	TAK	NIE	NIE	TAK	NIE	NIE	NIE	NIE
ACTION2	TAK	TAK	TAK	NIE	TAK	NIE	NIE	NIE	NIE	NIE
ACTION3	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK
ACTION4	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK
ACTION5	NIE	NIE	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK
ACTION6	TAK	TAK	TAK	TAK - gdy pin	TAK - gdy pin	TAK - gdy pin	NIE	TAK - gdy pin	NIE	NIE
ACTION7	TAK	TAK	TAK	TAK - gdy pin	TAK - gdy pin	TAK - gdy pin	NIE	TAK - gdy pin	NIE	NIE
ACTION8	TAK	TAK	TAK	TAK	TAK	TAK	NIE	TAK	NIE	NIE
ACTION9	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK	TAK
ACTION10	TAK	TAK	TAK	TAK	TAK	TAK	NIE	NIE	NIE	NIE
ACTION11	TAK	TAK	TAK	NIE	TAK	TAK	NIE	NIE	NIE	NIE
ACTION12	TAK	TAK	TAK	TAK	TAK	TAK	NIE	NIE	NIE	NIE
ACTION13	TAK	TAK	TAK	TAK	TAK	TAK	NIE	NIE	NIE	NIE
